Lionel Messi  
Cristiano Ronaldo  
Neymar Jr.  
Kylian Mbappé  
Erling Haaland  
Robert Lewandowski  
Karim Benzema  
Mohamed Salah  
Kevin De Bruyne  
Luka Modrić  
Toni Kroos  
Sadio Mané  
Harry Kane  
Vinícius Jr.  
Virgil van Dijk  
Jude Bellingham  
Phil Foden  
Rodri Hernández  
Joshua Kimmich  
Bernardo Silva  
Pedri González  
Jamal Musiala  
Declan Rice  
Bruno Fernandes  
Rafael Leão  
João Félix  
Ousmane Dembélé  
Achraf Hakimi  
Antoine Griezmann  
Thomas Müller  
Ángel Di María  
Federico Valverde  
Son Heung-min  
Bukayo Saka  
Martin Ødegaard  
Alphonso Davies  
Christian Pulisic  
Trent Alexander-Arnold  
Andrew Robertson  
Lisandro Martínez  
Raphaël Varane  
Mason Mount  
Riyad Mahrez  
Gabriel Jesus  
Kai Havertz  
Ederson Moraes  
Thibaut Courtois  
Jan Oblak  
Gianluigi Donnarumma  
Marc-André ter Stegen  
Manuel Neuer  
Diogo Jota  
Marco Reus  
Paulo Dybala  
Gerard Moreno  
Luis Díaz  
Wissam Ben Yedder  
Memphis Depay  
Álvaro Morata  
Nicolò Barella  
Serge Gnabry  
Leon Goretzka  
Christopher Nkunku  
Lautaro Martínez  
Pablo Gavi  
Ansu Fati  
Ferran Torres  
Jadon Sancho  
Declan Rice  
Ilkay Gündogan  
Pierre-Emerick Aubameyang  
Alexis Sánchez  
Eden Hazard  
Zlatan Ibrahimović  
Edinson Cavani  
Gonçalo Ramos  
Joško Gvardiol  
Dayot Upamecano  
Matthijs de Ligt  
Jules Koundé  
Rúben Dias  
Kalidou Koulibaly  
Milan Škriniar  
Presnel Kimpembe  
Marquinhos  
Thiago Silva  
Aymeric Laporte  
Danilo Pereira  
Casemiro  
Ngolo Kanté  
Sergio Busquets  
Paul Pogba  
Franck Kessié  
Lucas Paquetá  
Weston McKennie  
Marcelo Brozović  
Rodrigo Bentancur  
Youri Tielemans  
Granit Xhaka  
Youssouf Fofana  
Ismaël Bennacer  
Declan Rice  
James Maddison  
Wilfred Ndidi  
Matheus Nunes  
Dominik Szoboszlai  
Cody Gakpo  
Dusan Vlahović  
Alexander Isak  
Patrik Schick  
Jonathan David  
Darwin Núñez  
Richarlison  
Randal Kolo Muani  
João Cancelo  
Reece James  
Kyle Walker  
Ben Chilwell  
Theo Hernández  
Ferland Mendy  
Sergiño Dest  
Giovanni Di Lorenzo  
Dani Carvajal  
Juan Cuadrado  
Jesus Navas  
Ricardo Pereira  
Pervis Estupiñán  
Kieran Trippier  
Emiliano Martínez  
David de Gea  
Keylor Navas  
Hugo Lloris  
Yassine Bounou  
Wojciech Szczęsny  
André Onana  
Alisson Becker  
José Sá  
Mike Maignan  
Ivan Rakitić  
Mario Götze  
Riyad Mahrez  
Hakim Ziyech  
Yacine Brahimi  
André Silva  
Sebastián Haller  
Danny Ings  
Raúl Jiménez  
Andriy Yarmolenko  
Alejandro Garnacho  
Harvey Elliott  
Curtis Jones  
Rasmus Højlund  
Mikel Oyarzabal  
Portu  
Samuel Chukwueze  
Takefusa Kubo  
Manor Solomon  
Gustavo Scarpa  
Gabriel Martinelli  
Matheus Cunha  
Angel Correa  
Nabil Fekir  
Brais Méndez  
Álex Baena  
Bryan Gil  
Pablo Sarabia  
Nuno Mendes  
José Gayà  
Álex Remiro  
Unai Simón  
Robert Sánchez  
Pau Torres  
Álex Moreno  
Iñigo Martínez  
Héctor Bellerín  
Pedro Porro  
Marc Bartra  
Mario Hermoso  
Jorge Sánchez  
Kevin Álvarez  
Guillermo Ochoa  
Jesús Gallardo  
Edson Álvarez  
Santiago Giménez  
Chucky Lozano  
Orbelín Pineda  
Luis Chávez  
Carlos Rodríguez  
Henry Martín  
Raúl Alonso Jiménez  
Javier Hernández  
Carlos Vela  
Héctor Herrera  
Andrés Guardado  
Jonathan dos Santos  
Diego Lainez  
Erick Gutiérrez  
Gerardo Arteaga  
Johan Vásquez  
César Montes  
Israel Reyes  
Julio César Domínguez  
