id,titulo,año,duracion (min),pais,direccion,guion,musica,fotografia,productora,reparto,genero,sinopsis,nota,votaciones,web
223427.0,"Shake, Rattle and Rock!",1994.0,83.0,Estados Unidos,['Allan Arkush'],['Trish Soodik'],['Joseph L. Altruda'],['Jean de Segonzac'],['Spelling Films International. Distribuida por Showtime'],"['Renée Zellweger', 'Howie Mandel', 'Patricia Childress', 'Max Perlich', 'Latanyia Baldwin', 'Necia Bray', 'Josina Elder', 'Wendi Williams', 'Gerrit Graham', 'John Doe', 'James Intveld', 'Riki Rachtman', 'Nora Dunn', 'Mary Woronov', 'Dey Young', 'P.J. Soles', 'Jenifer Lewis', 'Ruth Brown', 'Stephen Furst', 'Julianna Raye', 'Dick Miller', 'William Schallert', 'Ron Jackson', 'Paul Anka']","[['Drama'], ['Comedia']]","Dos chicas montan una banda y abren un club nocturno en la ciudad donde los jóvenes locales puedan pasar el rato y no meterse en problemas, pero se encuentran con la oposición de los padres, que piensa que el rock es la música del diablo y que corromperá a sus hijos. (FILMAFFINITY)",,,https://www.filmaffinity.com/es/film223427.html
991203.0,Y a des limites,2014.0,97.0,Francia,['Charly Cassan'],['NA'],['NA'],['NA'],['Reportage 34'],"['Michel Coste', 'Henri Cohen', 'Antony Cinturino', 'Jean Michel Espinasse', 'Christina Montonati']",[['Comedia']],,,,https://www.filmaffinity.com/es/film991203.html
121407.0,¡...Y a Dios que me perdone!,2017.0,103.0,Rep. Dominicana,['Ángel Muñiz'],['Ángel Muñiz'],"['Sebastian Cabrera Chelin', 'Peyi Guzmán']",['Peyi Guzmán'],['Estudio Quitasueño'],"['Johnnie Mercedes', 'Clara Luz Lozano', 'Akhuarella Mercedes', 'Jean Jean', 'Tony Sanz', 'Francis Cruz', 'Shailyn Sosa', 'Miguel Ángel Martínez', 'Yamile Scheker', 'Pepe Sierra', 'Pachy Méndez']",[['Drama']],"Es la historia de Toribio Sosa (Jhonny Mercedes), un raso de la policía que hace todo lo que este a su alcance para conseguir los recursos necesarios y que su mujer sobreviva a una leucemia posparto. Con un sueldo de 7 mil pesos mensuales se le hace imposible lograr sus propósitos, y es entonces cuando decide utilizar los únicos recursos que le quedan a mano: Su arma de reglamento y el bajo mundo. La falta de educación, la pobreza, la ausencia de un sistema de salud adecuado, y el descaro con que la clase política le estrujaba a millones de ciudadanos como Toribio, que podían robarse el dinero público y luego burlarse y evadir las más altas instancias judiciales para salirse con la suya, habían iniciado en Toribio un proceso irreversible, con el solo propósito de sobrevivir y llevar el bienestar a los suyos. (FILMAFFINITY)",,,https://www.filmaffinity.com/es/film121407.html
646222.0,¿Y a mí quién me cuida? (I a mi qui em cuida?) (TV),2007.0,90.0,España,['Ángeles González-Sinde'],"['Carmen Pombero', 'Pepa Álvarez', 'Marta Durán']",['Alfredo Valero'],['Daniel Sosa Segura'],['Omnibus Pictures / Steinweg Emotion Pictures / Canal Sur Televisión / Generalitat de Catalunya - Institut Català de les Indústries Culturals / Televisió de Catalunya / Junta de Andalucía'],"['Julieta Serrano', 'Antonio de la Torre', 'Adriana Ozores', 'Ana María Barbany', 'Isabel Osca', 'María Alfonsa Rosso', 'Gloria de Jesús', 'Alexander Biggie', 'Mercedes Bernal', 'Adela Fernández', 'Terele Pávez', 'Nacho Martín', 'Montse Rueda', 'Víctor García', 'Josefina Güell']","[['Drama'], ['Comedia']]","Ana es una anciana que acaba de quedarse viuda. Como muchas personas de su edad y educación, tendrá que encontrar una razón que dé sentido a su vida. Cuando su hijo Antonio le pide que cuide de su nieto Ezequiel, Ana observa que el niño ha sufrido los errores de una educación autoritaria y decide ayudarle a cumplir su sueño de ser coreógrafo. Con su nieto, Ana inicia un viaje quimérico que la lleva a descubrir a otras mujeres de su barrio que, como ella, tratan de vivir una nueva vida.  (FILMAFFINITY)","1,5",107.0,https://www.filmaffinity.com/es/film646222.html
515608.0,"Et vous sinon, ça va? (S)",2010.0,12.0,Francia,['Emmanuel Broussouloux'],['Emmanuel Broussouloux'],['Emmanuel Broussouloux'],['Virginie Pichot'],['Sensito Films'],"['François Bégaudeau', 'Paulin Fodouop', 'Juliette Croizat']",[['Drama']],"Enfrentado a un problema conyugal, el director de una empresa comienza a tomar conciencia de su entorno, especialmente del señor de la limpieza, con quien se cruza todos los días sin conocerlo. Una crisis existencial mezclada con una crisis económica. (FILMAFFINITY)",,,https://www.filmaffinity.com/es/film515608.html
970636.0,Y Adán y,1971.0,27.0,Chile,['Juan Pablo Donoso'],['Juan Pablo Donoso'],['Juan Amenábar'],['Silvio Caiozzi (B&W)'],['Escuela de Artes de la Comunicación de la Universidad Católica de Chile'],"['Miguel Ángel Lagos', 'Willy Rojas', 'Julio Fischetel', 'Lisa Forestblue', 'Rubén Porta', 'Detmer Aising', 'María Elena Nett', 'Ernesto Arriagada', 'Coca Rudolphy', 'Willy Benítez', 'Eugenia María Rodríguez', 'Bernardo Tapia']",[['Fantástico']],"Desde las profundidades del mar nace Adán, un niño que busca por el mundo el lugar al que pertenece. Recorriendo la playa, se encuentra con otro niño como él y se vuelven amigos. Ya adulto, el hombre intenta encontrar a la mujer, su contraparte. Acosado por los seres del mundo, la ve entre sueños y ésta le ayuda a recuperarse de su mal. (FILMAFFINITY)",,,https://www.filmaffinity.com/es/film970636.html
458312.0,"Et maintenant, on va où? (Where Do We Go Now?)",2011.0,100.0,Líbano,['Nadine Labaki'],"['Thomas Bidegain', 'Rodney El Haddad', 'Jihad Hojeily', 'Nadine Labaki', 'Bassam Nessim']",['Khaled Mouzannar'],['Christophe Offenstein'],['Coproducción Líbano-Francia; Les Films des Tournelles / Pathé / Les Films de Beyrouth'],"['Nadine Labaki', 'Kevin Abboud', 'Claude Baz Moussawbaa', 'Julian Farhat', 'Ali Haidar', 'Layla Hakim', 'Yvonne Maalouf', 'Antoinette Noufaily', 'Petra Saghbini', 'Mostafa Al Sakka', 'Sasseen Kawzally', 'Caroline Labaki']","[['Drama'], ['Comedia'], ['Musical']]","Un cortejo de mujeres vestidas de negro se dirigen al cementerio, bajo un sol abrasador, apretando contra su cuerpo fotos de sus esposos, padres o hijos. Todas comparten el mismo dolor, consecuencia de una guerra funesta e inútil. Al llegar a la entrada del cementerio, el cortejo se divide en dos grupos: uno musulmán y otro cristiano. En un país destrozado por la guerra, estas mujeres muestran la inquebrantable determinación de proteger a sus familias de toda clase de amenaza exterior. Con ingenio, inventando estratagemas esperpénticas, intentarán distraer la atención de los hombres para que olviden el rencor. (FILMAFFINITY)","6,9",3.135,https://www.filmaffinity.com/es/film458312.html
355559.0,And Now... Ladies and Gentlemen,2002.0,128.0,Reino Unido,['Claude Lelouch'],"['Claude Lelouch', 'Pierre Leroux', 'Pierre Uytterhoeven']",['Michel Legrand'],['Pierre-William Glenn'],['Coproducción Reino Unido-Francia; Canal+ / Films 13 / France 2 Cinéma / Gemka Productions. Distribuida por Paramount Classics'],"['Jeremy Irons', 'Patricia Kaas', 'Thierry Lhermitte', 'Claudia Cardinale', 'Alessandra Martines', 'Ticky Holgado', 'Amidou', 'Yvan Attal']","[['Drama'], ['Romance']]","Valentín (Jeremy Irons) es un ladrón de joyas inglés, un escurridizo maestro que ha atracado las joyerías más importantes de Europa, usando como arma principal su irresistible encanto. Jane Lester (Patricia Kaas) es una bella cantante de jazz que se recupera de un fracaso amoroso. Ambos se conocen en un momento en el que padecen preocupantes lagunas de memoria y sólo buscan paz y descanso. (FILMAFFINITY)","5,4",227.0,https://www.filmaffinity.com/es/film355559.html
534296.0,Y ahora elogiemos las películas (S),2017.0,15.0,Argentina,['Nicolás Zukerfeld'],['Nicolás Zukerfeld'],['NA'],['Fernando Lockett'],['Universidad del Cine / Fidelia Cine'],"['Lucas Granero', 'Mariana de la Mata', 'Nicolás Daniluk', 'Agustín Gagliardi']",[['Drama']],"Lucas trabaja en una librería y escribe en una revista de cine. Un día, le encargan traducir un texto del crítico norteamericano Manny Farber. Mientras traduce, conoce a Mariana, una joven en busca de trabajo a la que le fotocopia el DNI; le vende un marcador a Nicolás, un historietista que termina una viñeta, y se reencuentra con Agustín, un antiguo compañero de colegio que es mozo en un bar y produce cine independiente. (FILMAFFINITY)",,,https://www.filmaffinity.com/es/film534296.html
911802.0,"Testa t'ammazzo, croce... sei morto... Mi chiamano Alleluja (Y ahora le llaman Aleluya)",1971.0,91.0,Italia,['Giuliano Carnimeo'],['Tito Carpi'],['Stelvio Cipriani'],['Stelvio Massi'],['Coproducción Italia-España; Colosseo Artistica'],"['George Hilton', 'Charles Southwood', 'Agata Flori', 'Roberto Camardiel', 'Federico Boido', 'Paolo Gozlino', 'Andrea Bosic', 'Linda Sini', 'Aldo Barberito', 'Franco Pesce', 'Ugo Adinolfi', 'Fortunato Arena', 'John Bartha', 'Lino Coletta', 'Rocco Lerro', 'Paolo Magalotti', 'Furio Meniconi', 'Luciano Rossi', 'Claudio Ruffini', 'Gaetano Scala', 'Goffredo Unger', 'Amerigo Santarelli', 'Lina Franchi', 'Sergio Smacchi']","[['Western'], ['Comedia']]","Aleluya, un mercenario estadounidense, es contratado por el General Emiliano Ramírez para robar un maletín lleno de joyas con el que el ejército regular pretende comprar armas pesadas a los EEUU. Pero la misión se complicará al aparecer en escena una banda de forajidos, un príncipe bielorruso y una misteriosa monja que también pretenden hacerse con las joyas. (FILMAFFINITY)","3,6",39.0,https://www.filmaffinity.com/es/film911802.html
