id_envio,fecha_envio,origen,destino,peso_kg,tipo_envio,estado
1,2025-05-05,Valencia,Sevilla,5.26,estandar,en reparto
2,2025-05-04,Zaragoza,Madrid,1.49,estandar,en reparto
3,2025-05-09,Valencia,Toledo,29.8,estandar,en reparto
4,2025-05-11,Bilbao,Toledo,22.44,express,entregado
5,2025-05-12,Sevilla,Bilbao,-9.53,express,en camino
6,2025-05-30,Bilbao,Malaga,-5.27,express,entregado
7,2025-05-12,Bilbao,Granada,3.11,estandar,en camino
8,2025-05-25,Malaga,Madrid,17.04,express,en reparto
9,2025-05-18,Bilbao,Zaragoza,5.19,estandar,entregado
10,2025-05-22,Sevilla,Madrid,-6.56,estandar,entregado
11,2025-05-17,Bilbao,Toledo,0.26,estandar,en camino
12,2025-05-17,Valencia,Barcelona,3.1,express,entregado
13,,Barcelona,Vigo,10.17,express,entregado
14,,Malaga,Madrid,23.04,express,en camino
15,2025-05-09,Bilbao,Zaragoza,2.89,estandar,en reparto
16,2025-05-23,Vigo,Sevilla,,estandar,entregado
17,2025-05-28,Malaga,Barcelona,8.05,express,en reparto
18,2025-05-07,Madrid,Barcelona,47.69,express,entregado
19,2025-05-16,Granada,Vigo,45.95,express,entregado
20,2025-05-18,Barcelona,Valencia,-9.1,estandar,en reparto
21,2025-05-11,Malaga,Valencia,44.64,estandar,en reparto
22,2025-05-09,Granada,Bilbao,2.06,estandar,entregado
23,2025-05-05,Madrid,Barcelona,6.81,estandar,en camino
24,2025-05-03,Zaragoza,Vigo,29.72,express,en reparto
25,2025-05-27,Valencia,Madrid,48.21,express,en camino
26,2025-05-26,Sevilla,Valencia,33.55,estandar,en reparto
27,2025-05-13,Zaragoza,Madrid,0.97,estandar,entregado
28,2025-05-07,Valencia,Sevilla,-5.33,express,en camino
29,2025-05-11,Granada,Barcelona,-5.91,estandar,en camino
30,2025-05-28,Sevilla,Toledo,,estandar,entregado
31,2025-05-14,Malaga,Zaragoza,46.29,estandar,en reparto
32,2025-05-05,Granada,Valencia,2.49,express,entregado
33,2025-05-17,Vigo,Toledo,30.71,express,en reparto
34,2025-05-05,Toledo,Barcelona,31.26,express,en reparto
35,2025-05-05,Granada,Valencia,38.0,express,en camino
36,2025-05-26,Barcelona,Valencia,32.41,estandar,entregado
37,2025-05-08,Sevilla,Vigo,44.15,express,en reparto
38,2025-05-31,Madrid,Sevilla,46.11,express,en reparto
39,2025-05-19,Valencia,Vigo,21.64,express,entregado
40,2025-05-05,Barcelona,Vigo,-7.68,estandar,en camino
