date,sp500_open,sp500_high,sp500_low,sp500_close,sp500_volume,sp500_high_low,nasdaq_open,nasdaq_high,nasdaq_low,nasdaq_close,nasdaq_volume,nasdaq_high_low,us_rates,CPI,usd_chf,eur_usd,GDP,silver_open,silver_high,silver_low,silver_close,silver_volume,silver_high_low,oil_open,oil_high,oil_low,oil_close,oil_volume,oil_high_low,platinum_open,platinum_high,platinum_low,platinum_close,platinum_volume,platinum_high_low,palladium_open,palladium_high,palladium_low,palladium_close,palladium_volume,palladium_high_low,gold_open,gold_high,gold_low,gold_close,gold_volume
"2010-01-14","114.49","115.14","114.42","114.93","115646960.0","0.7199999999999989","46.26","46.52","46.22","46.39","75209000.0","0.3000000000000042","","","1.0206","1.4478","","18.58","18.7","18.45","18.66","69804.0","0.25","39.3","39.44","38.88","39.06","8575821.0","0.5599999999999952","160.13","161.85","159.72","161.45","228500.0","2.1299999999999955","43.93","45.02","43.86","44.84","364528.0","1.1600000000000037","111.51","112.37","110.79","112.03","18305238.0"
"2010-01-15","114.73","114.84","113.2","113.64","212252769.0","1.6400000000000006","46.46","46.55","45.65","45.85","126849300.0","0.8999999999999986","","","1.0264","1.4376","","18.54","18.54","18.36","18.41","205106.0","0.1799999999999997","38.97","39.02","38.28","38.4","12615299.0","0.740000000000002","160.68","161.25","159.5","160.25","189900.0","1.75","45.18","45.76","44.4","45.76","442210.0","1.3599999999999994","111.35","112.01","110.38","110.86","18000724.0"
"2010-01-19","113.62","115.13","113.59","115.06","138671890.0","1.539999999999992","45.96","46.64","45.95","46.59","84388200.0","0.6899999999999977","","","1.034","1.4269","","18.53","18.79","18.5","18.79","130552.0","0.2899999999999991","38.07","38.9499","38.03","38.93","8180157.0","0.9198999999999984","162.23","165.2","162.1722","165.12","295900.0","3.027799999999985","46.01","47.08","45.7","46.94","629150.0","1.3799999999999957","110.95","111.75","110.83","111.52","10467927.0"
"2010-01-20","114.28","114.45","112.98","113.89","216330645.0","1.4699999999999989","46.27","46.604","45.43","45.92","145680000.0","1.1739999999999997","","","1.0453","1.4094","","18.31","18.31","17.78","17.86","230907.0","0.5299999999999976","38.23","38.35","37.88","37.89","11438685.0","0.4699999999999988","163.51","163.51","159.09","163.22","438200.0","4.419999999999988","46.59","47.31","45.17","47.05","643198.0","2.140000000000001","109.97","110.05","108.46","108.94","17534231.0"
"2010-01-21","113.92","114.27","111.56","111.7","344747028.0","2.7099999999999937","46.06","46.35","45.3","45.49","204939600.0","1.0500000000000045","","","1.0426","1.4106","","17.82","17.91","17.32","17.38","198067.0","0.5899999999999999","38.22","38.41","37.09","37.24","13716561.0","1.3199999999999932","161.86","162.5","159.12","159.79","247600.0","3.3799999999999955","46.6","46.98","45.07","45.3","388457.0","1.9099999999999968","108.48","108.78","106.61","107.37","25747831.0"
"2010-01-22","111.2","111.74","109.09","109.21","345627282.0","2.6499999999999915","45.34","45.48","44.04","44.16","171098700.0","1.4399999999999975","","","1.04","1.4154","","17.13","17.154","16.87","17.07","184687.0","0.2839999999999989","37.07","37.09","36.32","36.34","17901363.0","0.7700000000000031","154.84","155.97","152.26","154.88","190100.0","3.710000000000008","43.7","44.386","42.6","43.3","343595.0","1.7860000000000014","106.93","107.68","106.01","107.17","24209966.0"
"2010-01-25","110.21","110.41","109.41","109.77","186751367.0","1.0","44.39","44.6","44.12","44.31","154218700.0","0.480000000000004","","","1.0403","1.4146","","17.01","17.16","16.98","17.13","106196.0","0.1799999999999997","36.5","36.99","36.41","36.81","9052380.0","0.5800000000000054","154.72","155.2","153.93","155.19","164800.0","1.2699999999999818","43.68","44.42","43.43","44.36","184431.0","0.990000000000002","107.44","107.72","107.07","107.48","13170442.0"
"2010-01-26","109.34","110.47","109.04","109.31","210788669.0","1.4299999999999926","44.28","44.89","44.05","44.35","140816500.0","0.8400000000000034","","","1.0466","1.4063","","16.48","16.89","16.43","16.71","218587.0","0.4600000000000008","36.37","36.83","36.25","36.5","9104873.0","0.5799999999999983","150.9","153.64","150.8","153.52","387600.0","2.839999999999975","42.77","43.1","42.38","42.75","338167.0","0.7199999999999989","106.87","107.99","106.75","107.56","12274165.0"
"2010-01-27","109.17","110.08","108.33","109.83","271482263.0","1.75","44.29","44.85","44.01","44.7","161632700.0","0.8400000000000034","","","1.0472","1.4053","","16.67","16.7","16.42","16.5483","141860.0","0.2799999999999976","36.54","36.74","35.61","36.08","14802425.0","1.1300000000000026","152.45","153.2","148.27","149.99","247400.0","4.929999999999978","42.24","42.44","40.93","41.34","419800.0","1.509999999999998","107.53","108.8","106.16","106.528","18991219.0"
"2010-01-28","110.19","110.25","107.91","108.57","315523641.0","2.3400000000000034","44.4","44.43","43.32","43.55","221439800.0","1.1099999999999994","","","1.0517","1.3993","","16.69","16.69","16.02","16.2083","132972.0","0.6700000000000017","36.31","36.35","35.74","36.16","11588819.0","0.6099999999999994","152.08","152.08","148.66","151.21","179800.0","3.420000000000016","42.61","42.63","40.85","42.16","281792.0","1.7800000000000011","107.18","107.23","105.18","106.48","16792253.0"
"2010-01-29","109.04","109.8","107.22","107.39","310523229.0","2.5799999999999983","43.9","44.02","42.63","42.79","212099600.0","1.3900000000000006","","","1.0557","1.387","","16.17","16.28","16.0105","16.19","123954.0","0.2695000000000007","36.38","36.5","35.5","35.64","14358801.0","1.0","151.12","152.4295","149.43","150.47","127600.0","2.9994999999999834","41.95","42.21","41.15","41.6954","169985.0","1.0600000000000025","105.88","106.3","105.27","105.96","20278800.0"
"2010-02-01","108.15","109.07","107.5","109.06","187376305.0","1.5699999999999932","42.91","43.2807","42.88","43.26","136827100.0","0.4007000000000005","0.13","217.281","1.0586","1.3904","","16.29","16.68","16.25","16.68","146693.0","0.4299999999999997","36.02","36.73","35.77","36.72","10430722.0","0.9599999999999936","152.19","155.08","152.0","155.06","110600.0","3.0800000000000125","42.49","43.28","42.13","43.2494","189315.0","1.1499999999999986","106.64","108.48","106.37","108.35","14872885.0"
"2010-02-02","109.26","110.59","108.88","110.38","216202000.0","1.710000000000008","43.31","43.78","43.03","43.65","110727700.0","0.75","","","1.0557","1.3955","","16.77","16.77","16.5933","16.64","130437.0","0.1767000000000003","36.84","37.93","36.7699","37.5284","14650614.0","1.1601","156.07","158.4199","155.49","158.4","176500.0","2.9299000000000035","44.1","44.45","43.81","44.302","308268.0","0.6400000000000006","109.16","109.6","108.61","109.13","14292066.0"
"2010-02-03","109.88","110.48","109.51","109.83","172541928.0","0.9699999999999988","43.45","43.97","43.42","43.89","93581600.0","0.5499999999999972","","","1.059","1.3907","","16.54","16.6","16.2799","16.37","86233.0","0.3201","37.85","38.17","37.5","37.65","18003047.0","0.6700000000000017","158.01","158.89","156.6","157.7","77200.0","2.289999999999992","44.36","44.56","43.48","43.857","120141.0","1.0800000000000054","109.1","109.54","108.4305","108.7","13376745.0"
"2010-02-04","108.98","109.03","106.42","106.44","356204273.0","2.6099999999999994","43.58","43.66","42.62","42.62","151652500.0","1.0399999999999991","","","1.0655","1.3759","","16.07","16.07","15.3005","15.32","356412.0","0.7695000000000007","37.12","37.14","35.5","35.8","20847501.0","1.6400000000000006","154.55","155.15","149.81","150.41","181600.0","5.340000000000003","42.57","42.57","40.44","40.85","407212.0","2.1300000000000026","106.79","106.8","103.75","104.37","39962209.0"
"2010-02-05","106.56","106.88","104.58","106.66","493483874.0","2.299999999999997","42.75","43.02","42.12","42.98","213618600.0","0.9000000000000057","","","1.0779","1.3608","","15.15","15.1917","14.65","15.19","373275.0","0.5417000000000005","35.97","36.05","34.07","35.21","29343474.0","1.9799999999999969","147.99","149.0","145.14","148.02","254900.0","3.8600000000000136","39.63","40.55","38.49","40.09","544611.0","2.059999999999995","103.76","104.68","102.28","104.68","32656665.0"
"2010-02-08","106.74","107.33","105.81","105.89","223943088.0","1.519999999999996","42.92","43.18","42.64","42.67","94354400.0","0.5399999999999991","","","1.0696","1.3699","","15.09","15.24","14.96","15.02","190203.0","0.2799999999999993","35.08","35.37","34.69","35.09","12258496.0","0.6799999999999997","147.86","148.48","146.975","147.1","91100.0","1.5049999999999957","40.35","40.82","40.0","40.68","56238.0","0.8200000000000003","104.41","105.14","104.0","104.04","17176296.0"
"2010-02-09","107.13","108.15","106.27","107.22","337698759.0","1.8800000000000097","43.17","43.51","42.76","43.11","118956000.0","0.75","","","1.0641","1.3795","","15.23","15.57","15.15","15.43","184267.0","0.4199999999999999","35.54","37.718","35.33","36.21","12733950.0","2.388000000000005","149.95","151.205","148.79","150.25","109700.0","2.4150000000000205","41.37","41.95","41.33","41.912","245479.0","0.6200000000000045","105.18","106.15","104.87","105.41","25959174.0"
"2010-02-10","107.05","107.6","106.11","107.01","240337447.0","1.4899999999999949","43.1","43.31","42.75","43.02","94102900.0","0.5600000000000023","","","1.0682","1.3722","","15.37","15.3701","15.0601","15.25","129012.0","0.3100000000000005","36.09","36.7","35.55","36.51","10322183.0","1.1500000000000057","150.92","151.49","149.25","151.34","58800.0","2.240000000000009","41.71","41.73","40.71","41.36","92781.0","1.019999999999996","105.13","105.5","104.11","105.12","16214398.0"
"2010-02-11","106.87","108.25","106.25","108.13","223348428.0","2.0","43.01","43.79","42.76","43.67","93050800.0","1.0300000000000011","","","1.0747","1.364","","15.28","15.71","15.19","15.67","130224.0","0.5200000000000014","36.58","37.08","35.95","36.78","11979564.0","1.1299999999999957","150.37","152.95","149.645","152.94","81000.0","3.3049999999999784","41.67","42.21","41.22","42.08","173303.0","0.990000000000002","105.58","107.56","105.27","107.13","19332173.0"
"2010-02-12","106.99","108.1","106.51","108.04","304335521.0","1.5899999999999892","43.27","43.88","43.16","43.76","93938500.0","0.720000000000006","","","1.0767","1.3625","","15.35","15.53","15.22","15.52","112073.0","0.3099999999999987","36.15","36.37","35.6","36.31","12564270.0","0.769999999999996","150.32","151.52","148.96","151.45","52500.0","2.5600000000000023","41.52","41.98","40.9901","41.72","122105.0","0.9898999999999988","106.08","107.1","105.57","107.04","14464157.0"
"2010-02-16","108.86","109.85","107.82","109.74","159025359.0","2.030000000000001","44.08","44.35","43.85","44.32","83861400.0","0.5","","","1.0681","1.3742","","15.87","16.2","15.79","16.11","179659.0","0.4100000000000001","37.2","37.83","37.08","37.79","15139703.0","0.75","153.51","154.3","152.9","153.7","127700.0","1.4000000000000057","43.24","43.44","43.05","43.32","115178.0","0.3900000000000005","109.45","109.87","109.1","109.62","20894637.0"
"2010-02-17","110.27","110.41","109.74","110.26","168609976.0","0.6700000000000017","44.5","44.57","44.26","44.57","82691700.0","0.3100000000000023","","","1.0768","1.3623","","16.19","16.27","15.9","16.02","118183.0","0.3699999999999992","37.68","37.98","37.47","37.97","10328347.0","0.509999999999998","154.62","154.82","152.57","153.12","97100.0","2.25","44.0","44.1","43.51","43.79","97152.0","0.5900000000000034","109.66","110.01","108.87","109.25","19506091.0"
"2010-02-18","110.08","111.14","110.04","110.91","192806015.0","1.0999999999999943","44.54","44.93","44.45","44.85","65752600.0","0.4799999999999969","","","1.0806","1.3563","","16.17","16.24","15.96","16.18","87506.0","0.2799999999999976","38.4","38.73","38.01","38.73","16141890.0","0.7199999999999989","153.16","153.42","151.69","153.23","88800.0","1.7299999999999898","43.8","43.91","43.24","43.91","67645.0","0.6699999999999946","109.61","110.11","109.19","109.98","18988709.0"
"2010-02-19","110.62","111.57","110.36","111.14","215567204.0","1.2099999999999935","44.76","45.05","44.62","44.83","80416500.0","0.4299999999999997","","","1.0824","1.3538","","16.15","16.4999","15.982","16.27","83092.0","0.5179000000000009","38.66","39.09","38.43","39.09","16897457.0","0.6600000000000037","151.51","154.37","151.0","153.37","89800.0","3.3700000000000045","43.25","44.83","43.18","43.86","103947.0","1.6499999999999986","109.3","110.39","108.81","109.47","21928676.0"
"2010-02-22","111.55","111.58","110.83","111.16","132148949.0","0.75","45.01","45.03","44.56","44.74","72055000.0","0.4699999999999988","","","1.0773","1.359","","16.39","16.39","16.15","16.17","72269.0","0.240000000000002","39.13","39.23","38.8","39.03","11388425.0","0.4299999999999997","153.7","153.7","151.67","152.57","56400.0","2.030000000000001","44.15","44.26","43.5","44.18","61481.0","0.759999999999998","109.86","109.97","108.66","109.07","10742292.0"
"2010-02-23","110.86","111.2","109.52","109.81","206922860.0","1.6800000000000068","44.69","44.74","43.95","44.16","95814400.0","0.7899999999999991","","","1.0818","1.3537","","15.99","16.0","15.77","15.82","85255.0","0.2300000000000004","38.64","38.71","38.1","38.33","11264334.0","0.6099999999999994","152.3","152.3","150.52","151.46","105100.0","1.7800000000000011","43.88","44.18","43.0","43.05","78217.0","1.1799999999999995","108.84","108.91","107.65","107.89","13628999.0"
"2010-02-24","110.14","111.0","109.86","110.82","176170766.0","1.1400000000000006","44.4099","44.79","44.32","44.61","86591000.0","0.4699999999999988","","","1.0779","1.3576","","15.83","15.98","15.83","15.89","77062.0","0.1500000000000003","38.45","39.02","38.2","38.99","9973070.0","0.8200000000000003","150.83","151.52","150.37","150.37","92300.0","1.1500000000000057","42.89","43.02","42.0","42.15","144507.0","1.0200000000000031","107.33","108.16","107.1","107.36","17176088.0"
"2010-02-25","109.24","110.75","108.94","110.67","259023227.0","1.8100000000000025","44.11","44.7","43.83","44.6","97961300.0","0.8700000000000045","","","1.0858","1.3476","","15.67","16.14","15.62","16.09","102858.0","0.5200000000000014","37.85","38.14","37.53","38.11","13947722.0","0.6099999999999994","150.8365","153.1125","150.8365","153.1099","96600.0","2.2760000000000105","41.74","42.51","41.6","42.186","134494.0","0.9099999999999966","106.7","108.7","106.6","108.31","23345653.0"
"2010-02-26","110.77","111.12","110.11","110.74","173425228.0","1.0100000000000051","44.6","44.86","44.4","44.76","66222400.0","0.4600000000000008","","","1.0711","1.366","","16.23","16.52","16.13","16.42","150302.0","0.3900000000000005","38.35","38.98","38.29","38.82","9106208.0","0.6899999999999977","153.4","154.29","152.69","154.08","27800.0","1.5999999999999943","42.93","43.3","42.8","43.23","93777.0","0.5","108.89","109.6","108.41","109.43","13033728.0"
"2010-03-01","111.2","112.0","111.17","111.89","147507319.0","0.8299999999999983","44.95","45.49","44.95","45.41","77290100.0","0.5399999999999991","0.16","217.353","1.0827","1.3516","","16.54","16.59","16.39","16.39","116056.0","0.1999999999999993","39.05","39.14","38.02","38.35","9701357.0","1.1199999999999974","155.0","155.42","154.12","154.65","90500.0","1.299999999999983","43.7","43.75","43.26","43.26","293198.0","0.490000000000002","109.48","109.9","108.97","109.43","12811556.0"
"2010-03-02","112.37","112.74","112.0","112.2","160920705.0","0.7399999999999949","45.54","45.85","45.45","45.55","76368500.0","0.3999999999999986","","","1.079","1.3564","","16.61","17.0616","16.61","16.89","187511.0","0.4515999999999991","38.6","39.42","38.55","38.8","10155849.0","0.8700000000000045","156.54","157.69","156.21","157.0","173600.0","1.4799999999999898","44.11","44.45","43.96","44.14","302536.0","0.490000000000002","109.86","111.45","109.86","111.02","20102189.0"
"2010-03-03","112.49","112.97","112.02","112.3","150552463.0","0.9500000000000028","45.67","45.82","45.43","45.6","65735500.0","0.3900000000000005","","","1.0652","1.3731","","17.16","17.32","17.1245","17.13","180494.0","0.1954999999999991","39.07","39.56","38.7","39.4","12432317.0","0.8599999999999994","157.98","158.65","157.462","157.75","67500.0","1.1880000000000166","44.44","45.2385","44.258","44.9","140099.0","0.9804999999999992","111.46","112.18","111.1763","111.63","16194423.0"
"2010-03-04","112.45","112.8","112.03","112.64","135526954.0","0.769999999999996","45.64","45.81","45.4","45.75","54470900.0","0.4100000000000037","","","1.078","1.3571","","17.24","17.27","17.052","17.1","56846.0","0.2179999999999999","39.08","39.29","38.825","39.15","9915478.0","0.4649999999999963","157.59","158.29","156.78","158.21","205200.0","1.509999999999991","45.6","46.45","45.0","46.2932","478099.0","1.4500000000000028","111.25","111.37","110.22","110.83","12944030.0"
"2010-03-05","113.37","114.34","113.1","114.25","176047042.0","1.240000000000009","46.1","46.54","45.99","46.44","68136300.0","0.5499999999999972","","","1.0751","1.3608","","17.25","17.4699","17.2358","17.29","135878.0","0.2340999999999979","39.62","39.96","39.57","39.85","10045663.0","0.3900000000000005","157.86","158.52","157.2901","157.62","82300.0","1.2299000000000149","46.72","47.78","46.62","47.74","214632.0","1.1600000000000037","111.13","111.75","110.8","110.81","11091383.0"
"2010-03-08","114.26","114.52","114.07","114.27","114525089.0","0.4500000000000028","46.46","46.64","46.44","46.53","58712400.0","0.2000000000000028","","","1.0744","1.3613","","17.48","17.48","17.1","17.21","71321.0","0.379999999999999","40.01","40.05","39.33","39.79","7878254.0","0.7199999999999989","160.24","160.33","158.43","159.82","106900.0","1.9000000000000057","47.65","47.65","46.8001","47.05","183222.0","0.8498999999999981","111.22","111.3","109.52","109.88","12752302.0"
"2010-03-09","113.93","114.99","113.87","114.46","154378793.0","1.1199999999999903","46.4","47.05","46.4","46.79","98002800.0","0.6499999999999986","","","1.0765","1.3586","","17.02","17.36","16.99","17.23","83112.0","0.370000000000001","39.34","39.87","39.308","39.55","8030384.0","0.5619999999999976","158.07","159.82","158.0301","158.91","130000.0","1.7898999999999887","46.32","47.28","46.3","46.79","85117.0","0.980000000000004","109.16","110.16","109.04","109.718","12649802.0"
"2010-03-10","114.51","115.28","114.41","114.97","185854165.0","0.8700000000000045","46.8","47.28","46.8","47.17","102578900.0","0.480000000000004","","","1.0702","1.3658","","17.36","17.6","16.91","16.9499","161571.0","0.6900000000000013","39.57","40.405","39.34","39.9","15114176.0","1.0649999999999975","160.18","161.59","157.79","159.38","182900.0","3.8000000000000114","46.95","47.59","45.86","46.25","167959.0","1.730000000000004","109.94","110.5","108.02","108.47","21972932.0"
"2010-03-11","114.7","115.48","114.35","115.45","160381449.0","1.1300000000000097","47.07","47.35","46.98","47.35","67510300.0","0.3700000000000045","","","1.0689","1.3674","","16.95","17.14","16.85","17.13","86754.0","0.2899999999999991","39.84","40.05","39.65","40.05","8077627.0","0.3999999999999986","158.74","161.04","158.3401","161.02","38700.0","2.6998999999999853","45.11","46.22","45.0","46.014","194931.0","1.2199999999999989","108.28","108.65","107.86","108.6","9516603.0"
"2010-03-12","115.95","115.97","115.14","115.46","161925254.0","0.8299999999999983","47.5","47.53","47.1","47.36","64068300.0","0.4299999999999997","","","1.0599","1.3753","","17.13","17.2","16.93","17.05","91197.0","0.2699999999999996","40.16","40.24","39.22","39.51","11344085.0","1.0200000000000031","161.53","162.01","159.88","160.54","52500.0","2.1299999999999955","46.27","46.68","46.05","46.31","116064.0","0.6300000000000026","108.56","108.77","107.45","107.95","11848993.0"
"2010-03-15","115.26","115.57","114.6","115.49","146532076.0","0.9699999999999988","47.26","47.38","46.91","47.24","60150500.0","0.4700000000000059","","","1.0635","1.3652","","17.02","17.11","16.981","17.02","120167.0","0.1289999999999977","39.13","39.14","38.5","38.83","9727827.0","0.6400000000000006","161.45","162.1","160.49","161.99","61900.0","1.6099999999999852","46.11","46.5","45.739","46.33","94981.0","0.7610000000000028","108.16","108.56","107.82","108.36","7698073.0"
"2010-03-16","115.81","116.52","115.49","116.41","168561421.0","1.0300000000000011","47.39","47.61","47.23","47.54","74950600.0","0.3800000000000025","","","1.0556","1.3758","","17.39","17.4599","17.26","17.36","102831.0","0.1998999999999995","39.34","39.9002","39.24","39.79","12761771.0","0.6601999999999961","162.42","163.189","162.16","163.08","75300.0","1.0289999999999964","46.8","47.49","46.56","47.24","88778.0","0.9299999999999996","110.02","110.57","109.7","110.4","17748979.0"
"2010-03-17","116.76","117.48","116.42","117.1","177203017.0","1.0600000000000025","47.6","47.9","47.53","47.67","75643500.0","0.3699999999999974","","","1.0551","1.3739","","17.37","17.5","17.36","17.41","103688.0","0.1400000000000005","40.18","40.4","39.77","40.23","12549822.0","0.6299999999999955","163.64","163.8399","162.61","162.68","70000.0","1.2298999999999864","47.52","48.28","47.3","47.86","168826.0","0.980000000000004","110.18","110.46","109.55","109.59","13784291.0"
"2010-03-18","117.11","117.27","116.57","117.04","170817.0","0.7000000000000028","47.72","47.88","47.6","47.83","77829400.0","0.2800000000000011","","","1.063","1.3603","","17.42","17.5","17.3006","17.39","96842.0","0.1994000000000007","40.09","40.23","39.75","39.92","7567543.0","0.4799999999999969","162.87","163.2501","162.273","162.53","13600.0","0.9771000000000072","47.55","47.93","47.46","47.81","111125.0","0.4699999999999988","110.1","110.61","109.5","110.34","13848221.0"
"2010-03-19","115.97","117.29","115.52","115.97","226519190.0","1.7700000000000102","47.95","47.95","47.32","47.49","86337100.0","0.6300000000000026","","","1.0615","1.353","","17.35","17.35","16.93","16.97","138232.0","0.4200000000000017","39.85","39.97","38.845","39.2","13827302.0","1.125","162.0","162.01","159.84","160.7699","213300.0","2.1699999999999875","47.86","47.86","46.5","46.77","148473.0","1.3599999999999994","110.26","110.29","107.85","108.28","24328131.0"
"2010-03-22","115.31","116.8","115.24","116.59","184083906.0","1.5600000000000025","47.31","48.11","47.25","47.92","71902800.0","0.8599999999999994","","","1.058","1.3531","","16.62","16.92","16.58","16.9","159804.0","0.3400000000000034","38.38","39.635","38.3","39.56","10647199.0","1.3350000000000009","157.61","160.0","157.23","159.56","138000.0","2.7700000000000102","45.31","46.2092","45.15","45.7","103725.0","1.059200000000004","107.31","108.0","106.95","107.75","11579075.0"
"2010-03-23","116.76","117.51","116.38","117.41","182625254.0","1.1300000000000097","48.0","48.3","47.77","48.2525","59182600.0","0.529999999999994","","","1.0561","1.3535","","16.82","17.1","16.75","17.02","46096.0","0.3500000000000014","39.39","39.831","39.25","39.7","5562128.0","0.5810000000000031","159.52","160.73","159.28","160.73","79700.0","1.4499999999999886","45.66","46.669","45.35","46.48","143481.0","1.3189999999999955","107.5","108.5","107.34","108.32","11273395.0"
"2010-03-24","116.97","117.43","115.58","116.84","196061714.0","1.8500000000000083","48.14","48.17","47.91","48.02","62995700.0","0.2600000000000051","","","1.0692","1.3347","","16.66","16.72","16.55","16.57","130279.0","0.1699999999999981","38.99","39.2501","38.73","38.94","8790447.0","0.5201000000000064","158.44","158.91","157.636","157.72","137900.0","1.274000000000001","45.27","45.6404","44.021","44.54","365828.0","1.6193999999999988","106.94","107.07","106.24","106.3","14235437.0"
"2010-03-25","117.63","118.17","116.51","116.65","223197727.0","1.6599999999999966","48.37","48.6","47.9","47.95","76294800.0","0.7000000000000028","","","1.0697","1.3344","","16.72","16.79","16.54","16.61","105138.0","0.25","39.32","39.49","38.88","38.9","8972720.0","0.6099999999999994","159.2","160.78","158.87","160.02","163900.0","1.9099999999999968","44.92","45.35","44.68","45.19","158133.0","0.6700000000000017","107.0","107.25","106.48","106.78","16863466.0"
"2010-03-26","116.87","117.42","116.12","116.58","205625701.0","1.2999999999999972","48.14","48.33","47.74","48.0","78067900.0","0.5899999999999963","","","1.0662","1.3398","","16.79","16.92","16.7","16.92","238954.0","0.2200000000000024","39.1","39.12","38.55","38.83","7659642.0","0.5700000000000003","159.98","159.98","159.0","159.53","171200.0","0.9799999999999898","45.61","46.04","45.34","45.58","98617.0","0.6999999999999957","107.16","108.7","106.82","108.59","17433561.0"
"2010-03-29","117.17","117.53","116.69","117.32","134431758.0","0.8400000000000034","48.23","48.4","48.1","48.23","57993300.0","0.2999999999999971","","","1.0634","1.3465","","17.27","17.3822","17.22","17.35","106934.0","0.1622000000000021","39.32","40.11","39.2901","39.96","10411182.0","0.819899999999997","161.52","162.82","160.964","162.8","156400.0","1.8559999999999943","47.43","47.6001","47.1","47.41","164033.0","0.5000999999999962","108.87","109.17","108.4","108.75","11526946.0"
"2010-03-30","117.46","117.83","116.91","117.4","145681592.0","0.9200000000000016","48.36","48.55","48.06","48.39","49437300.0","0.4899999999999949","","","1.0671","1.3409","","17.29","17.35","17.21","17.27","81770.0","0.1400000000000005","39.9","40.05","39.63","39.95","6837220.0","0.4199999999999946","162.18","162.25","161.4601","161.9499","56400.0","0.7898999999999887","47.23","47.2499","46.83","47.18","64789.0","0.4198999999999984","108.57","108.6615","107.87","107.97","9816459.0"
"2010-03-31","116.95","117.52","116.61","117.0","160932206.0","0.9099999999999966","48.23","48.45","48.07","48.16","59947400.0","0.3800000000000025","","","1.0528","1.3526","","17.53","17.59","17.41","17.45","76390.0","0.1799999999999997","40.4","40.63","39.91","40.29","13428324.0","0.720000000000006","164.39","164.74","163.7","164.29","110500.0","1.0400000000000205","48.0","48.59","47.63","47.85","110712.0","0.9600000000000009","109.44","109.5","108.85","108.95","13996074.0"
